id,str1,str2,time3,int4
4172,eLo,DC,02/25/1988 09:48 AM,590382
4173,z5cLr,8uLR,08/03/1996 06:30 PM,243025
4174,1,nS,09/14/2005 10:17 AM,147739
4175,a,nIDx,12/05/1984 02:05 AM,864839
4176,Opsd,cSU,07/29/1986 04:26 PM,922037
4177,S9q,ijVR,04/04/1995 10:16 PM,385036
4178,A,AGCpE,10/24/2008 02:54 AM,132901
4179,9bRs,1pwyb,09/28/1971 06:04 AM,244546
4180,qZ,4cY,06/16/1997 10:45 PM,48872
4181,Hz,XumG9,03/08/2007 01:45 AM,246497
4182,RWgN7,fo6,04/25/2004 11:45 PM,475198
4183,HR6,BPp7D,12/27/1986 03:19 PM,192955
4184,zsr,T,05/01/1997 01:51 AM,648535
4185,ajjT,dH,02/05/1986 12:49 AM,89119
4186,5mrHX,S,03/23/1974 11:09 AM,429199
4187,PwN,auLM,07/11/1993 11:21 AM,948201
4188,v,RWYej,12/15/1983 09:04 PM,539156
4189,7,JllE,04/27/2000 03:42 AM,417712
4190,zePV6,nwvj,11/13/2005 07:17 AM,18800
4191,9d7,lLc,05/09/1980 11:12 AM,356308
4192,j,N,11/07/1970 07:16 AM,899694
4193,J5aW4,bU,02/22/1982 03:17 PM,55101
4194,khgOW,u,05/06/1994 10:19 AM,923388
4195,1Vh,FXpr,03/30/1983 04:40 PM,71905
4196,o,wxc,08/05/1977 05:03 AM,847472
4197,a,TV2mt,10/03/1979 08:22 PM,941124
4198,QY,e,12/15/2003 02:03 PM,101491
4199,TA68,URY,04/29/2008 09:27 AM,297584
4200,qT,ExYj,07/31/1990 06:22 PM,789390
4201,DgUm,Inu,04/01/1998 09:30 PM,567610
4202,CEkh,Dysvk,12/20/2004 05:48 AM,131455
4203,jVz,yqO,02/13/1994 06:51 PM,542420
4204,7H4,dpZA,07/28/1985 11:55 AM,304440
4205,4v,Rr2m,07/17/1985 04:51 AM,988096
4206,U,YzKiy,06/20/1994 07:02 PM,563769
4207,fg,DXVI,08/16/1994 06:20 AM,825362
4208,r,kAp,01/04/1988 06:38 AM,397491
4209,C,zf,05/01/1978 08:08 AM,612171
4210,gx,MGo,10/01/2001 06:45 PM,243800
4211,Y,5,10/06/2013 12:35 AM,197609
4212,vzxM,c2,03/28/2000 12:50 PM,510238
4213,vB,bYgb,09/10/1971 05:34 AM,251482
4214,Z,cNA,09/24/1999 02:22 PM,986559
4215,FTHmC,v,06/23/1985 12:45 AM,598988
4216,XI,u5e,02/15/1987 01:50 AM,915272
4217,rau2E,Z,06/17/2012 09:15 PM,893474
4218,8rI9K,5eYY,03/15/2002 04:12 PM,472559
4219,ng1r,PVz,05/30/1982 02:03 AM,955609
4220,ZrD,Nc66,05/30/1999 03:44 AM,758030
4221,BD,T,02/07/1986 12:34 PM,21222
4222,8YUcK,u5E6q,09/02/1970 04:59 PM,30538
4223,Nu6vp,i9LPZ,08/18/2000 01:24 PM,771653
4224,N,OqvT,05/19/1980 12:40 PM,2220
4225,IQE,oI,08/11/1991 08:13 PM,751947
4226,9zl,lZ,11/28/1973 05:56 AM,72401
4227,Ij,HSJI,01/14/2001 08:54 PM,414220
4228,vHT,R,01/23/1990 02:46 AM,27798
4229,mqJ,SL,04/08/1992 12:47 PM,470040
4230,Whxi9,7Nbr,07/27/1986 06:54 AM,456927
4231,YvlD,Ro3U,04/21/1994 10:10 PM,118639
4232,oowGf,hQ2q,09/18/1992 09:35 AM,359590
4233,fYiG,5Ih4k,08/05/1995 05:56 AM,619505
4234,1wjVg,MUc,07/26/1994 09:14 AM,283244
4235,mHw,bQ3OM,11/24/1981 08:15 AM,20911
4236,MVBiG,l,01/12/1974 01:28 AM,630027
4237,JGP,7i,06/12/1986 01:31 AM,652266
4238,rtLBE,i,01/30/2008 12:06 PM,254747
4239,ErUoM,ZZJV,01/08/1977 02:23 PM,371935
4240,8slrd,gBw,11/10/1976 02:33 PM,398227
4241,m,mS6,08/01/2004 01:29 AM,618466
4242,AnXB,HZL,10/23/2009 06:58 PM,538960
4243,p,mxU,06/08/1975 09:57 AM,254171
4244,XmBM,fP2i8,11/13/1975 06:54 PM,223049
4245,iE,W4OG,02/08/1979 01:08 AM,908887
4246,z3,KTR,12/23/1997 10:16 PM,373792
4247,eIzEw,q,12/26/1981 12:23 PM,465528
4248,Bqv,ZfYNE,11/01/2009 02:23 PM,593800
4249,2,g,04/17/1979 04:39 PM,605644
4250,d,7ZbZ,03/13/1973 05:05 PM,271696
4251,8gQv,CO2Yq,06/22/1983 02:56 PM,917535
4252,s,5,06/10/2003 10:28 PM,137447
4253,L,6CbU,06/13/1980 01:17 PM,254218
4254,Jz,4q,03/02/1980 04:14 PM,590460
4255,hOn,9m,04/17/2011 01:20 PM,918174
4256,wI,Se6Z,08/21/2000 08:20 PM,422555
4257,jhKp,s6kjq,06/14/1996 09:18 PM,285033
4258,C,2,08/15/1988 06:12 AM,502615
4259,tB,x,08/09/2006 01:27 PM,247540
4260,Tb,f2,05/22/1971 06:32 PM,206257
4261,KRv,htWs,04/07/2008 11:22 PM,137392
4262,z,I,10/11/2004 03:47 PM,29100
4263,6lmGG,dFSb,12/28/1996 02:54 AM,964024
4264,wSnm,6S,08/13/2000 09:51 AM,681112
4265,BtnFz,EcWz,01/13/2002 12:10 AM,656805
4266,Yuf,4xu,06/15/1986 02:32 PM,691377
4267,n,ptMg1,10/28/2007 09:45 AM,868439
4268,FJU,CGFZ,11/15/2008 05:09 PM,467857
4269,BW41,wPD9,05/02/1982 10:48 AM,944946
4270,Dxem,k9PpS,04/25/2000 04:41 PM,341321
4271,BW,8,02/06/1981 10:12 PM,271052
4272,57D,eSWYp,07/20/1992 02:56 PM,389826
4273,NjTw,ArAQ,09/13/1978 09:01 PM,809238
4274,RTn3B,9Dk7,04/14/1991 03:17 PM,261020
4275,7,T6j,08/24/2005 10:25 PM,651422
4276,Y,z,01/05/1986 09:04 AM,612175
4277,4,8w,08/09/1982 12:34 PM,139027
4278,O,Nb3G,07/01/1997 05:54 PM,124619
4279,BS,D,07/02/1989 11:32 PM,250106
4280,nM,R,11/06/1971 08:45 AM,125017
4281,bTm,Yzq6,09/12/2002 08:57 PM,664108
4282,B5,8M8Ks,05/07/1988 09:20 AM,49108
4283,g3UZ,CRAY,03/12/2002 02:36 PM,994106
4284,7l,VUC,01/29/1993 09:48 PM,320986
4285,i3T,Dd,05/04/2011 05:47 AM,428274
4286,S,z27,11/23/2006 04:28 AM,608323
4287,D7ol8,ou,01/10/1973 07:59 AM,749897
4288,RJubY,YZC,08/01/1988 08:11 AM,574915
4289,u,8nu,02/06/1979 03:41 PM,292333
4290,Lpz,YtLQ,08/01/1979 10:59 PM,569107
4291,uml2,a2aY,04/03/1975 10:28 PM,140682
4292,MMN,Int2D,05/18/1985 12:18 AM,470411
4293,hqgDK,T3TS,06/25/1989 11:03 PM,186919
4294,wea,1anO,11/14/1970 12:00 AM,178287
4295,tBm1,1k9S,04/14/1995 04:25 AM,187360
4296,Rwjh,dphP,01/10/2011 06:27 PM,987008
4297,yl,tFe,02/05/2010 09:46 AM,568180
4298,YOBP2,RLZfG,02/07/1990 10:31 PM,384732
4299,p,s1l,07/14/1974 10:34 PM,898405
4300,Zm,9Wsx9,02/02/1984 02:49 AM,388554
4301,Jsw3M,OMmqH,05/29/1995 12:41 PM,887021
4302,mO89,qX,09/11/1981 06:02 PM,658553
4303,V,DW2SW,09/27/2007 12:23 AM,471050
4304,xg,dFgq,01/27/1988 02:48 AM,735527
4305,f,br,12/11/2012 04:40 AM,138349
4306,zwn,NUH6H,05/08/1983 04:47 AM,839813
4307,yT,ftMh,08/14/1971 11:40 AM,26435
4308,kRtm6,ntSiy,08/13/1983 10:11 AM,561042
4309,WRGUW,4cW,03/08/1972 05:11 AM,756625
4310,kyvT,Bas9Y,04/30/2006 04:02 PM,31534
4311,up,Q9yi,11/21/2001 04:19 AM,755434
4312,Dyz,7l8,04/12/1994 01:34 PM,710546
4313,TKsK,B5Y,08/30/1990 05:47 PM,440785
4314,F5g,O,09/02/1978 07:01 AM,518669
4315,f,qvoC,02/18/1993 05:06 AM,524006
4316,Vic,f17i,01/31/1971 10:57 PM,680580
4317,7,E1,02/11/1971 02:19 AM,792017
4318,9It,u63I,02/16/1974 02:40 AM,805277
4319,C,KHVK,05/08/1990 11:33 AM,474097
4320,2Cg,2,08/11/1996 06:22 AM,473352
4321,3d2r,63emR,01/26/1997 11:59 PM,609769
4322,fLm,UkM,08/08/2002 08:24 AM,15473
4323,gBLXv,ZqZ,06/27/1994 04:12 PM,619488
4324,IPj,rtAU,04/14/2011 04:17 PM,923160
4325,5H,Bk,12/04/1989 11:25 AM,94536
4326,HnhJ,qui8r,06/30/1972 12:53 PM,57768
4327,f,5G2,09/29/1990 11:03 AM,131018
4328,2Cgo,H,07/26/1977 08:25 AM,592575
4329,X,tRgoa,12/21/1999 12:01 AM,939030
4330,IZGO,hRK,08/04/1996 06:18 AM,277154
4331,yjk,lJwHz,11/26/2005 12:30 PM,461047
4332,7T,G3GT,10/10/2004 07:55 PM,937877
4333,9O,m,10/21/1982 10:51 AM,835119
4334,yIlbF,Kx,01/12/1981 08:19 AM,585685
4335,au,wj,08/03/1987 04:00 PM,660501
4336,ymP3,s11nU,10/12/1979 03:04 PM,332956
4337,D24,OCR,12/12/1989 07:21 PM,593275
4338,v,KI,02/26/1988 05:50 PM,624383
4339,3Uz2N,dBK,09/20/2012 04:17 AM,424256
4340,aqh,EHWQ,05/26/2003 05:24 AM,358293
4341,MAk,aDFcT,07/25/1976 11:38 AM,47325
4342,hKkSq,s,08/28/1983 03:10 PM,284704
4343,T48o,d9qfR,10/06/1986 03:36 PM,329191
4344,7PXm,b9G6k,07/23/1996 02:30 AM,465633
4345,1,k3,06/02/1972 05:55 AM,197929
4346,c,vjj,11/25/1976 05:53 AM,108177
4347,tHK,BkJ,02/09/1990 01:39 AM,903838
4348,qeELu,ws6B,04/06/1973 04:21 AM,252489
4349,Di,33HX,11/09/2010 11:51 PM,229261
4350,KtZ,gfd2,08/07/2003 07:05 AM,707712
4351,7mDCI,e,09/12/1995 07:48 PM,665533
4352,sc1,YaB6E,09/13/2004 07:57 AM,450086
4353,NL,V8oz,08/28/2010 09:14 AM,137177
4354,hl,LUU,05/11/2008 03:53 AM,514461
4355,Ah,JBEd,07/22/2008 06:28 AM,469716
4356,4wZl,GX,12/17/1996 11:37 AM,638566
4357,8NW,R,02/16/2001 03:07 PM,209451
4358,pf8Qf,V,08/26/1995 09:22 AM,508663
4359,Bh,NR,01/09/1986 02:20 AM,181401
4360,l8MK,wOWS,07/28/1986 11:31 PM,703554
4361,EPHi7,qJJ,02/23/2005 05:10 PM,24286
4362,L,A,03/16/2010 02:21 AM,542885
4363,OaX,r8i,03/27/1974 01:13 PM,384522
4364,vN,3LA,03/13/2014 02:20 AM,241503
4365,dd,1s,01/25/2008 10:39 AM,435658
4366,eNRHh,mf,07/20/1978 04:51 PM,366802
4367,LAtD,Cfp,05/30/2007 04:06 AM,208686
4368,SDNb,awmUg,05/05/1987 11:32 AM,723072
4369,2,G6uHH,02/20/2005 04:24 PM,780935
4370,NpbZn,A87Z,01/02/1994 02:50 AM,320154
4371,YD,FgoMu,11/07/1983 05:54 PM,445519
4372,EXsD,p,05/05/1974 09:33 PM,544859
4373,Od,j4,09/19/1995 11:47 PM,584060
4374,UbWvL,Ien,10/24/1993 04:57 AM,377688
4375,7Ka,u6H,02/12/1998 12:08 PM,695418
4376,JUdq,H,02/16/1990 01:44 PM,14468
4377,2s,t,02/01/1992 06:26 PM,739302
4378,f,CsHYP,03/10/1992 02:18 PM,159380
4379,z6,6yTi,04/13/1973 01:00 AM,224078
4380,DPA,cZ11,04/03/1979 06:08 PM,442047
4381,Cp,9EH,09/19/2003 12:34 PM,131369
4382,H,C4hF,01/05/2012 03:19 PM,164635
4383,11pqt,nk8Y,04/04/1981 09:58 AM,733543
4384,FcJ,BSWxA,04/22/1977 12:21 AM,293926
4385,HZL9H,Ly6ei,02/06/1972 08:05 PM,458811
4386,CRuH,yZ4F,04/03/1973 09:55 AM,205473
4387,mPaH,qZg4,11/09/1972 06:09 AM,327913
4388,hr8vi,7pHz9,01/20/1970 10:59 PM,591057
4389,z,McPox,06/04/1987 12:13 PM,657867
4390,5QF,uRVIp,07/11/2003 09:05 AM,610025
4391,24,kH,11/22/1989 12:06 AM,328304
4392,R,6zd41,07/09/1974 07:18 PM,285176
4393,IC187,J,03/19/2000 09:43 AM,174391
4394,W,EjGwO,09/19/1977 07:22 PM,873693
4395,ei,R,10/31/1994 03:56 AM,160672
4396,dLrBP,SD,03/29/2003 02:34 AM,87588
4397,eHS,Ps1eH,07/24/2011 03:53 AM,597111
4398,k,pb,11/11/1974 08:23 AM,119367
4399,ab,M2Ns,06/09/1989 06:14 AM,931712
4400,d,7CKq,02/27/1991 03:37 PM,761416
4401,yVdM,rrqu,05/07/2013 04:43 PM,538252
4402,h,oln9,02/15/1999 12:43 PM,369143
4403,m8s26,H,11/01/1976 11:32 AM,304909
4404,YaDmv,WL,12/14/1996 05:16 PM,124222
4405,D2L,fY,05/22/2012 04:54 AM,575618
4406,Ftd,kdi6,02/06/1984 04:28 AM,39674
4407,kfCF,pmI,10/24/1985 03:11 PM,229638
4408,RVE,U,08/11/1972 01:50 PM,492595
4409,daS,dqpNn,10/25/2006 04:49 AM,245712
4410,mvX,lzzE,03/23/1975 06:57 AM,771783
4411,Rm3gO,XBqw,10/20/1978 04:22 PM,77708
4412,MP,Bjj1,06/14/2012 07:32 AM,219128
4413,yHT,T9,11/09/1985 08:26 AM,593869
4414,epn5V,Z,08/22/1998 04:43 AM,830120
4415,yB,Y,01/25/1970 09:20 PM,951236
4416,zAiy,G88,09/21/1991 02:39 AM,654903
4417,tmNv,Js,04/16/1990 03:33 AM,354043
4418,z,9me,07/08/1989 02:35 PM,823799
4419,M7,45h4h,12/22/1999 02:10 PM,75739
4420,Ey,QM,03/21/1990 02:59 PM,598664
4421,zjr,a,09/07/1975 10:28 PM,160921
4422,uTD,Few,07/17/1997 05:07 PM,792424
4423,P,ek,06/01/1980 06:18 AM,110436
4424,j,RqEx,06/12/1989 06:17 AM,465069
4425,zM6t,hCs,12/17/1991 08:45 AM,320399
4426,8p,j,07/01/1986 10:16 AM,284114
4427,c,uk4s,03/09/1983 09:27 AM,108202
4428,X8Zv,b,11/08/1987 05:22 PM,395790
4429,KL8,Fdg,01/17/1986 02:40 AM,790064
4430,vt7oH,Gl,04/15/2003 09:14 AM,42953
4431,LE,u,04/14/2001 02:42 PM,937580
4432,H,2,10/25/1980 05:42 PM,739741
4433,dUo7,aPYJn,04/08/1996 05:04 PM,275994
4434,4tzwq,5,12/23/2013 07:21 PM,177666
4435,RxzKF,e,01/28/2013 12:07 PM,250180
4436,1,n6N,09/19/1982 08:49 PM,942683
4437,zHxGm,Ll,01/09/2003 07:11 PM,44284
4438,Znj,Be,06/24/2010 05:40 AM,563958
4439,KB,7h,09/18/1973 12:16 AM,435226
4440,Hs,JCy,01/25/2007 04:47 PM,408096
4441,Ny,G7E,12/21/1975 04:19 PM,693389
4442,R,y2NgJ,06/11/1980 01:28 PM,160744
4443,pd,dBVu,09/09/1987 10:32 AM,373384
4444,L,JuOzc,01/11/1995 04:56 PM,227336
4445,w2MR,enY,07/23/1993 03:36 PM,762506
4446,z,tn,10/03/1990 06:42 AM,296700
4447,NC,JfkzE,03/28/1970 07:51 PM,130469
4448,Sl,Nsy,09/12/2010 05:46 AM,231844
4449,KzYtF,V2,03/04/1984 06:29 PM,955037
4450,4E7g,d,08/09/1993 01:27 PM,959433
4451,3ozQ,DrgWL,12/07/2012 10:55 AM,249660
4452,N,VK,02/22/1989 03:18 PM,81062
4453,7,SIJi,06/04/2005 12:25 PM,878609
4454,g4,b,07/07/1986 07:47 AM,144488
4455,mJls,cd,11/20/2010 12:53 AM,929001
4456,Kz,SB2lC,08/30/1999 11:36 PM,378885
4457,fC8ye,AtM,06/01/2012 09:09 PM,350790
4458,w2RD,ReR,11/22/1995 10:22 PM,763259
4459,J,5,05/30/1987 06:05 PM,375375
4460,AWyf,S6sg,04/13/1994 02:52 AM,254900
4461,j5dL,kaE,02/04/1987 08:37 AM,778820
4462,6V5,dt1,11/04/1999 08:52 PM,275788
4463,cjU,jPehY,08/31/1970 05:02 PM,851531
4464,VVn,wEHQ,08/16/2004 09:38 AM,487016
4465,hVxlf,Jeax,01/30/1984 11:43 AM,933216
4466,TYQc,sgDI1,12/30/1972 12:00 PM,490768
4467,lvxy,4E,01/01/1974 08:30 PM,140810
4468,4u,IBaVp,07/10/1976 03:42 AM,539297
4469,QhQn,Gs6v,01/08/1981 01:09 PM,488768
4470,Zbad,kh,02/25/2000 02:56 AM,186418
4471,GhgDZ,uPt,05/17/1987 07:05 AM,100864
4472,Xus,bkW,12/29/1989 08:35 AM,830382
4473,lZoW,D,12/18/2004 04:32 PM,746604
4474,Vpd,cL,04/19/1984 06:30 PM,787781
4475,XI,gte,03/18/2004 09:05 PM,350187
4476,c,gN,10/27/2000 02:10 AM,896789
4477,lEg,B,05/04/1977 06:10 PM,815510
4478,D,IMxh,11/26/1975 02:38 AM,67509
4479,pZ,I,09/21/1986 03:31 PM,340175
4480,PifI,o,05/30/1997 05:14 AM,160080
4481,GAq2,Xl5,11/02/2013 04:12 AM,747380
4482,eKJEC,o8zJX,03/01/1971 10:34 AM,430177
4483,v7px,s,09/22/1972 08:24 AM,25939
4484,XcBmh,XNkDq,06/15/1998 07:53 PM,526630
4485,g,vyt,11/15/1974 12:31 AM,152050
4486,Ao9,ot,02/15/1989 02:01 AM,698652
4487,VuCd,C4Weh,10/16/2008 03:27 AM,656497
4488,gcGv,z1,11/15/2001 07:00 PM,358361
4489,aRy9,TVR1W,01/20/2004 08:14 AM,934151
4490,Txw,8MyAL,05/01/2008 11:46 PM,123460
4491,Id,BT,04/14/2009 05:59 AM,856704
4492,Bh,74k,12/13/1991 09:05 PM,175647
4493,UhYmx,jkJYs,03/21/2010 10:49 PM,198525
4494,gv4D5,KPDWV,12/18/1981 01:04 PM,772377
4495,u,tkXMk,04/01/1985 02:43 PM,468096
4496,T,WEt,05/17/2010 04:24 PM,144094
4497,D,CL,05/18/1984 02:55 AM,278857
4498,lGfW5,Vi,07/03/2012 12:58 AM,857705
4499,tYG,MRe,01/17/1974 06:48 PM,163752
4500,r,iK,01/24/1989 08:18 AM,253949
4501,H,R,08/09/1986 12:41 AM,242583
4502,947Z,iN,05/14/1979 08:48 PM,359665
4503,b3s9q,dVTF,04/04/1972 09:20 AM,902511
4504,WT,3,09/06/2001 10:11 AM,763520
4505,uov51,Qi,07/20/1971 02:41 AM,558615
4506,4ID,dSsS,12/14/1978 01:42 PM,279958
4507,Uo,7,07/12/2000 11:43 AM,869690
4508,Z3jzW,w,09/22/1990 10:17 AM,451935
4509,rsOKw,KwYiC,06/16/2004 03:49 AM,130054
4510,fvF,FP,06/14/1977 03:35 PM,13835
4511,s8k,P,08/27/2011 07:08 AM,281754
4512,3kWkk,WUF4l,03/14/2004 06:05 AM,353223
4513,ZI,2,04/20/2008 06:56 PM,528461
4514,Bv12,nkR,11/16/2000 06:34 AM,473626
4515,R2oQX,sh2XQ,01/11/1999 07:51 AM,333553
4516,UMKpa,HTp2,11/17/1988 08:41 PM,46376
4517,DyQ,TN11,08/19/1993 12:53 AM,587616
4518,B5avB,o,03/10/2003 12:18 AM,968483
4519,3lo,z,03/26/2006 12:49 AM,651600
4520,WVkm,nb2r,12/27/1998 12:44 PM,848586
4521,B,9E,08/06/2008 07:35 AM,770811
4522,QhOIW,tWUg9,01/05/2000 06:00 PM,190700
4523,ySn,euG,05/27/1985 08:50 PM,684288
4524,dp,MC9yl,08/03/1992 02:00 PM,435161
4525,W,2gS,06/10/2000 12:27 AM,323862
4526,LGhMS,JctTm,12/31/1989 11:14 AM,53908
4527,P9eQe,vdmsz,08/08/1998 06:12 PM,330484
4528,47nlw,ZDg,12/11/1999 02:01 PM,269312
4529,t,uGbW6,07/15/1971 09:06 AM,617172
4530,E2Z,yBB5,01/17/2008 08:58 PM,162356
4531,f8x1,vOR7a,03/12/2010 12:01 PM,426009
4532,4c,jS6,01/31/1996 10:45 PM,290694
4533,h,o,08/05/1990 07:05 PM,581816
4534,7OMr,D,09/19/1980 02:36 PM,451063
4535,apvi,9E,11/16/2007 11:35 AM,7893
4536,dr4G,a,06/14/2012 09:43 PM,457494
4537,MdR,VKs,10/11/1978 11:43 PM,366401
4538,Q,wUqe,02/04/1988 02:19 AM,731383
4539,LdHx,p,02/22/1995 09:55 AM,192214
4540,V,kSj,06/04/1976 04:58 PM,209291
4541,qx,bQ,08/18/1994 07:21 AM,489943
4542,2f,8gL,03/05/2009 08:27 AM,699486
4543,uR,b,03/09/1986 01:52 PM,348730
4544,4L7,MsMoK,08/16/2013 02:45 AM,473587
4545,AixMH,uA,06/06/1985 11:32 AM,626000
4546,zNYl,nMNE,03/24/1974 10:45 AM,438155
4547,c8,r83,01/20/1988 07:09 PM,358014
4548,kw,ksF8,06/06/1983 09:39 PM,831661
4549,B,t,08/06/1997 05:05 PM,31661
4550,14zX,K,07/29/1985 09:51 AM,884020
4551,zq19,4A,06/21/1970 02:32 AM,31947
4552,axEhQ,fI,06/19/2012 12:08 AM,453465
4553,VaJNY,yXCUu,03/17/1979 04:18 AM,882453
4554,S3,ROFKY,05/26/1980 07:43 AM,170599
4555,pvVi,J,05/18/1985 07:13 AM,525600
4556,VmBcG,jznI,09/20/1982 02:26 PM,886797
4557,DSmYN,ud,04/05/2006 04:37 AM,23430
4558,wr,U,10/10/1977 05:21 PM,141471
4559,R,gJKpT,04/12/1977 07:45 AM,465137
4560,5gl,TNO,04/24/1971 02:24 AM,537544
4561,T,zyC,10/01/2008 05:14 AM,560355
4562,Kik4,JhOA,03/23/1998 07:50 AM,89605
4563,Fam,BK,04/19/1976 01:47 AM,28374
4564,peaf,OMLS,05/27/1971 02:37 AM,530327
4565,j,6,10/14/2012 12:32 AM,315104
4566,aSzem,UqCSr,04/13/1995 04:01 AM,371838
4567,Znb,cf7nX,01/22/1994 10:24 AM,187340
4568,n,JRPe,07/14/2012 12:58 AM,223829
4569,rK,oCl,04/03/1996 12:33 PM,163648
4570,Jo,Z1x,07/28/2006 06:53 PM,1411
4571,sSc,F,08/05/2002 08:50 AM,500071
4572,uf,3,09/20/2009 12:22 AM,375992
4573,uEM,Tg,09/01/2002 08:40 AM,243592
4574,UGXkY,4CRMi,07/13/1999 12:04 PM,144098
4575,UDV4g,oYi,07/12/1984 11:35 AM,652266
4576,WFioB,j4lrk,06/03/1995 04:19 PM,12688
4577,X3UV,x8Lx1,03/01/2014 07:56 AM,172422
4578,w,utEj,10/30/1999 04:22 AM,860150
4579,iry4y,TIq,06/07/2011 03:57 PM,503864
4580,QVcs,hCRb,10/08/1979 12:09 AM,415938
4581,jMtsU,8jjs,09/26/1980 09:40 PM,476691
4582,Ro7f,yL5,07/06/1981 04:48 AM,403144
4583,kl9Kv,R7,06/08/1980 04:42 AM,666704
4584,R1G,fpagT,07/16/1991 10:59 PM,76534
4585,k7,not,07/27/2005 01:20 PM,965356
4586,u,4kOhq,09/01/1992 02:31 PM,473816
4587,fE,WSkAb,09/12/2009 11:16 AM,912708
4588,5ZEa,Hl9OZ,11/02/1986 12:50 PM,912928
4589,xPW,f2,04/26/2004 09:01 PM,532166
4590,p,EbvJ,01/22/1985 07:52 AM,440418
4591,Bt36,jGn,01/23/1989 02:02 AM,732915
4592,ZQw,q23HZ,01/28/1985 04:28 PM,502620
4593,suZn,CtFj,07/11/1990 09:37 PM,470183
4594,b88,ZAHgg,07/23/1989 03:11 AM,844619
4595,Nl,6Dd7,10/21/2000 07:20 PM,372799
4596,F,r2W,08/27/1980 04:46 AM,429801
4597,pBCAs,not,09/18/2005 02:31 AM,118280
4598,WXdjm,KtID,10/25/2007 06:52 AM,868835
4599,5,CCK,03/08/1994 11:59 AM,218368
4600,BOBbZ,sSj,10/14/1989 11:33 AM,240863
4601,2s,N,06/04/2001 07:53 AM,625351
4602,RL,z9PF,09/10/1990 02:27 AM,704626
4603,vVZ,C,06/07/1985 12:44 PM,772763
4604,HCn3,Vf,04/08/1984 07:34 PM,636280
4605,MOAO,FE1C,05/26/1987 06:40 AM,133079
4606,zW4II,klf,01/30/1984 12:05 AM,844263
4607,767sV,bSaaW,06/27/2004 09:59 PM,129210
4608,g,eHx3b,02/23/1983 03:15 PM,102479
4609,5i3bE,pj,01/05/1987 04:23 AM,30719
4610,TybCm,vO4,03/12/1983 02:03 AM,601060
4611,rzD,SZa,01/12/2008 10:10 AM,1011
4612,B,zjU,11/25/2001 08:01 AM,261378
4613,Ng,u6CuP,08/05/1976 05:42 AM,942893
4614,7PVPP,l,03/02/1985 04:27 PM,631813
4615,mwQ,hCt2,04/08/2009 12:09 PM,507245
4616,oI,u,07/27/1974 08:34 AM,691081
4617,UD,E,10/28/1972 11:27 AM,853753
4618,l,Y,12/16/1992 02:36 PM,465276
4619,OFKj,QfsnR,03/13/1981 02:37 PM,689186
4620,m,alA,03/06/1987 06:07 AM,92387
4621,n,qjXMO,07/18/1980 01:25 AM,270584
4622,Zr,mZOaP,01/29/1977 05:09 AM,847246
4623,h,g,07/26/2013 03:52 AM,766760
4624,ewhH,MgtZq,09/08/2007 04:18 AM,173673
4625,jCmT,uH,03/17/1986 07:37 PM,778596
4626,nR1eJ,Ni,11/28/1972 07:07 PM,410028
4627,sfA,o,08/07/2013 05:45 PM,468575
4628,lnaS,QQHl4,11/15/1992 04:16 PM,301530
4629,qfcy,gy,01/08/2000 09:17 PM,433033
4630,LG,BC,05/07/1973 12:55 AM,867318
4631,3TM,ct,03/24/1981 02:39 PM,243139
4632,d,eal,04/09/2010 04:23 PM,969972
4633,Hk,tYaG,06/07/2001 02:33 PM,262509
4634,L,d,05/28/2014 08:27 PM,948374
4635,ax,yw,03/21/1974 03:01 AM,391355
4636,i5,bel,01/04/2008 03:22 PM,822271
4637,scEZ,pGk,10/23/2006 09:14 PM,204244
4638,gfSR,hBHe,03/01/1977 07:43 AM,705667
4639,l2,s3Ktv,05/03/1995 05:38 PM,506668
4640,4wTY,QJWfM,03/29/1979 05:57 PM,904807
4641,Cw,X,01/08/2013 01:01 PM,649200
4642,NB,8LmY,04/04/1992 08:47 AM,856766
4643,IKO9f,U,06/03/1977 01:59 PM,732213
4644,kLl,Mw,07/08/1991 03:47 PM,219052
4645,ewlI,qF,04/12/1972 09:54 AM,911519
4646,WX,J,05/29/1986 02:48 PM,716658
4647,Oj,ePN,08/21/1974 07:11 AM,383810
4648,g,561ta,04/23/2006 02:37 AM,679418
4649,f5L,P,06/11/2007 10:24 AM,330334
4650,ZJ2,oldg,11/05/1989 12:10 AM,284534
4651,Uasz,6ov,03/20/2004 07:33 AM,344423
4652,CGU8,v,04/08/2012 10:50 PM,812875
4653,N,oY,11/19/1987 10:34 AM,439561
4654,69j,JkjaZ,06/28/2001 03:08 PM,138864
4655,4u,C,08/06/2012 05:06 PM,830993
4656,e,epH,01/20/1978 03:51 PM,51819
4657,bNl1,wiK3p,09/29/1985 03:04 AM,976591
4658,EW,m,04/26/1998 03:32 AM,435894
4659,jVp1,5b,04/22/1984 08:07 AM,122203
4660,Qrw,d,05/30/1988 02:33 PM,987423
4661,7c2X,GTXjQ,10/22/1973 09:54 AM,376722
4662,POp,OHUD1,08/30/1980 06:51 AM,686368
4663,Cp6,Um,11/03/2014 12:33 AM,604831
4664,dSW,mig,05/14/1976 07:23 PM,780536
4665,Hqtav,QjCU,07/05/1998 05:35 PM,1308
4666,pn4l,H,05/03/1983 04:18 AM,79844
4667,5T,P1W1I,08/14/2014 01:32 PM,958028
